name,address,city,state,zipCode,phoneNumber,email,totalBeds,availableBeds,description
Union Gospel Mission - Washington Center,1812 Pine St,Washington,DC,58936,668-373-2436,contact7954@shelter.org,22,3,Scraped-style dataset with room availability restored.
Rescue Mission - Detroit Mission,7926 Broad St,Detroit,MI,76123,652-939-6291,contact7955@shelter.org,75,23,Scraped-style dataset with room availability restored.
Family Shelter Network - Austin Services South,9742 Cedar St,Austin,TX,14756,421-608-9073,contact7956@shelter.org,22,1,Scraped-style dataset with room availability restored.
Urban Shelter - Washington Services West,8752 Elm St,Washington,DC,98328,910-301-8272,contact7957@shelter.org,64,8,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Diego Mission,7969 Pine St,San Diego,CA,52100,551-325-6974,contact7958@shelter.org,45,20,Scraped-style dataset with room availability restored.
Union Gospel Mission - Portland Center North,2742 3rd St,Portland,OR,55435,869-403-3140,contact7959@shelter.org,85,10,Scraped-style dataset with room availability restored.
Neighborhood Shelter - San Antonio Program,5283 Cedar St,San Antonio,TX,66889,209-540-6665,contact7960@shelter.org,15,0,Scraped-style dataset with room availability restored.
Open Door Mission - Columbus Mission North,9350 Market St,Columbus,OH,30664,207-712-6494,contact7961@shelter.org,105,4,Scraped-style dataset with room availability restored.
Family Shelter Network - Detroit Shelter North,6064 Broad St,Detroit,MI,21312,867-902-2566,contact7962@shelter.org,63,24,Scraped-style dataset with room availability restored.
Family Shelter Network - Indianapolis Services West,6151 Walnut St,Indianapolis,IN,73881,590-224-3237,contact7963@shelter.org,53,5,Scraped-style dataset with room availability restored.
Rescue Mission - Baltimore Shelter South,8236 Walnut St,Baltimore,MD,56117,416-242-9604,contact7964@shelter.org,77,7,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Phoenix Program South,8145 Walnut St,Phoenix,AZ,61318,306-913-5932,contact7965@shelter.org,74,31,Scraped-style dataset with room availability restored.
Community Shelter - San Francisco Services West,3113 Broad St,San Francisco,CA,30365,502-526-9307,contact7966@shelter.org,63,24,Scraped-style dataset with room availability restored.
Safe Haven - Detroit Shelter,9449 Cedar St,Detroit,MI,27191,265-964-2895,contact7967@shelter.org,27,12,Scraped-style dataset with room availability restored.
Open Door Mission - Houston Mission West,8667 Market St,Houston,TX,99475,761-846-7284,contact7968@shelter.org,50,8,Scraped-style dataset with room availability restored.
Safe Haven - Detroit Program East,582 Pine St,Detroit,MI,78391,456-980-7933,contact7969@shelter.org,79,15,Scraped-style dataset with room availability restored.
Community Shelter - Nashville Program South,7954 Maple St,Nashville,TN,36771,399-300-7080,contact7970@shelter.org,110,1,Scraped-style dataset with room availability restored.
Hope Center - Dallas Mission North,7225 Main St,Dallas,TX,51150,523-764-4646,contact7971@shelter.org,18,8,Scraped-style dataset with room availability restored.
Salvation Army - Charlotte Shelter West,3992 Elm St,Charlotte,NC,83034,931-837-2013,contact7972@shelter.org,113,18,Scraped-style dataset with room availability restored.
Open Door Mission - Boston Program,8008 Walnut St,Boston,MA,27875,342-841-3789,contact7973@shelter.org,81,3,Scraped-style dataset with room availability restored.
Salvation Army - Indianapolis Services West,5286 Oak St,Indianapolis,IN,85244,276-718-1539,contact7974@shelter.org,84,35,Scraped-style dataset with room availability restored.
Family Shelter Network - Columbus Program South,6178 Oak St,Columbus,OH,99051,879-879-1530,contact7975@shelter.org,22,4,Scraped-style dataset with room availability restored.
Veterans Outreach - Chicago Program West,2767 2nd St,Chicago,IL,69961,315-914-2906,contact7976@shelter.org,81,2,Scraped-style dataset with room availability restored.
Hope Center - New York Shelter East,4543 Main St,New York,NY,62169,856-965-2527,contact7977@shelter.org,91,28,Scraped-style dataset with room availability restored.
Open Door Mission - Detroit Mission North,4294 Maple St,Detroit,MI,75073,766-979-2010,contact7978@shelter.org,99,5,Scraped-style dataset with room availability restored.
City Shelter - Nashville Mission West,8109 Maple St,Nashville,TN,38649,532-972-3969,contact7979@shelter.org,85,14,Scraped-style dataset with room availability restored.
Emergency Housing Center - Portland Program North,3843 Pine St,Portland,OR,98016,459-799-9403,contact7980@shelter.org,47,2,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Indianapolis Center West,139 Main St,Indianapolis,IN,77680,727-667-7713,contact7981@shelter.org,90,33,Scraped-style dataset with room availability restored.
Union Gospel Mission - Chicago Mission South,7286 Elm St,Chicago,IL,79311,983-733-6912,contact7982@shelter.org,17,2,Scraped-style dataset with room availability restored.
Salvation Army - Austin Services South,5291 Pine St,Austin,TX,45626,355-424-9583,contact7983@shelter.org,19,7,Scraped-style dataset with room availability restored.
Hope Center - San Diego Mission East,8303 Maple St,San Diego,CA,52369,631-712-1637,contact7984@shelter.org,42,5,Scraped-style dataset with room availability restored.
Urban Shelter - Denver Services West,3660 Market St,Denver,CO,33557,444-306-3729,contact7985@shelter.org,81,9,Scraped-style dataset with room availability restored.
Community Shelter - Washington Services South,6177 Walnut St,Washington,DC,53706,356-340-6489,contact7986@shelter.org,84,1,Scraped-style dataset with room availability restored.
Emergency Housing Center - Columbus Mission South,3419 2nd St,Columbus,OH,43113,892-965-6390,contact7987@shelter.org,35,7,Scraped-style dataset with room availability restored.
Family Shelter Network - Austin Shelter East,8217 Pine St,Austin,TX,35318,466-253-5868,contact7988@shelter.org,60,6,Scraped-style dataset with room availability restored.
Salvation Army - Columbus Services West,7422 3rd St,Columbus,OH,86364,499-271-9809,contact7989@shelter.org,61,26,Scraped-style dataset with room availability restored.
Union Gospel Mission - Columbus Program,832 Maple St,Columbus,OH,93517,633-404-2230,contact7990@shelter.org,115,46,Scraped-style dataset with room availability restored.
Faith Shelter - San Diego Program West,5707 Cedar St,San Diego,CA,60153,980-929-4181,contact7991@shelter.org,47,20,Scraped-style dataset with room availability restored.
Open Door Mission - San Diego Program,1700 Walnut St,San Diego,CA,95810,202-284-6023,contact7992@shelter.org,98,25,Scraped-style dataset with room availability restored.
Rescue Mission - Los Angeles Program North,8179 Elm St,Los Angeles,CA,29945,705-762-5997,contact7993@shelter.org,30,0,Scraped-style dataset with room availability restored.
Faith Shelter - Phoenix Program East,3156 Oak St,Phoenix,AZ,82927,334-977-7895,contact7994@shelter.org,43,17,Scraped-style dataset with room availability restored.
Veterans Outreach - San Jose Mission,3414 Cedar St,San Jose,CA,54541,304-938-7185,contact7995@shelter.org,66,25,Scraped-style dataset with room availability restored.
Transitional Housing Program - Washington Program,3567 Pine St,Washington,DC,38389,436-638-1942,contact7996@shelter.org,38,9,Scraped-style dataset with room availability restored.
Union Gospel Mission - Indianapolis Center East,3828 Elm St,Indianapolis,IN,33432,555-965-9413,contact7997@shelter.org,86,28,Scraped-style dataset with room availability restored.
Faith Shelter - Jacksonville Shelter,8414 2nd St,Jacksonville,FL,78253,249-779-8634,contact7998@shelter.org,90,40,Scraped-style dataset with room availability restored.
Veterans Outreach - Chicago Center East,8261 Cedar St,Chicago,IL,68749,245-549-2229,contact7999@shelter.org,52,6,Scraped-style dataset with room availability restored.
Hope Center - San Jose Services,77 Pine St,San Jose,CA,83584,641-743-1995,contact8000@shelter.org,17,1,Scraped-style dataset with room availability restored.
Community Shelter - Boston Shelter West,1444 Market St,Boston,MA,41807,344-955-4077,contact8001@shelter.org,90,32,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Philadelphia Center North,2289 2nd St,Philadelphia,PA,18964,725-421-7979,contact8002@shelter.org,18,0,Scraped-style dataset with room availability restored.
Salvation Army - Houston Mission,6092 Cedar St,Houston,TX,47418,829-261-4449,contact8003@shelter.org,105,5,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Columbus Mission North,8482 Cedar St,Columbus,OH,62898,225-410-5286,contact8004@shelter.org,104,42,Scraped-style dataset with room availability restored.
Open Door Mission - Chicago Shelter West,6489 Pine St,Chicago,IL,76215,957-332-3110,contact8005@shelter.org,58,1,Scraped-style dataset with room availability restored.
Community Shelter - Columbus Shelter North,4787 Pine St,Columbus,OH,87501,763-798-1697,contact8006@shelter.org,96,19,Scraped-style dataset with room availability restored.
Emergency Housing Center - Philadelphia Program South,7634 Market St,Philadelphia,PA,22557,275-346-8486,contact8007@shelter.org,100,7,Scraped-style dataset with room availability restored.
Rescue Mission - San Jose Program North,7411 Market St,San Jose,CA,68995,727-271-4442,contact8008@shelter.org,80,32,Scraped-style dataset with room availability restored.
City Shelter - Chicago Program South,6918 3rd St,Chicago,IL,27116,553-685-1322,contact8009@shelter.org,106,33,Scraped-style dataset with room availability restored.
Emergency Housing Center - Charlotte Shelter South,4981 3rd St,Charlotte,NC,96706,794-663-9688,contact8010@shelter.org,69,19,Scraped-style dataset with room availability restored.
Urban Shelter - Boston Services North,1546 Broad St,Boston,MA,51860,776-894-4962,contact8011@shelter.org,19,7,Scraped-style dataset with room availability restored.
Hope Center - Boston Mission West,2539 Maple St,Boston,MA,48832,558-423-4995,contact8012@shelter.org,107,1,Scraped-style dataset with room availability restored.
City Shelter - Charlotte Services South,1488 3rd St,Charlotte,NC,96419,705-474-2032,contact8013@shelter.org,70,30,Scraped-style dataset with room availability restored.
City Shelter - Washington Program,7028 Pine St,Washington,DC,94503,368-856-7323,contact8014@shelter.org,116,13,Scraped-style dataset with room availability restored.
City Shelter - Portland Center West,6167 Pine St,Portland,OR,15999,694-632-5771,contact8015@shelter.org,32,12,Scraped-style dataset with room availability restored.
City Shelter - Charlotte Services,17 Walnut St,Charlotte,NC,86127,675-405-3754,contact8016@shelter.org,94,29,Scraped-style dataset with room availability restored.
Open Door Mission - Chicago Program South,6544 Cedar St,Chicago,IL,82752,974-221-5674,contact8017@shelter.org,75,28,Scraped-style dataset with room availability restored.
Open Door Mission - Boston Program,5187 Elm St,Boston,MA,31441,227-714-8400,contact8018@shelter.org,52,3,Scraped-style dataset with room availability restored.
Hope Center - Austin Mission,6016 3rd St,Austin,TX,28516,358-322-1876,contact8019@shelter.org,114,27,Scraped-style dataset with room availability restored.
Safe Haven - Detroit Services East,1312 Elm St,Detroit,MI,17074,573-710-2834,contact8020@shelter.org,50,14,Scraped-style dataset with room availability restored.
Urban Shelter - Detroit Shelter South,8983 Elm St,Detroit,MI,74341,765-669-8663,contact8021@shelter.org,26,5,Scraped-style dataset with room availability restored.
Union Gospel Mission - Denver Shelter East,8225 Maple St,Denver,CO,95537,715-912-5954,contact8022@shelter.org,113,31,Scraped-style dataset with room availability restored.
Safe Haven - Portland Program,1988 Maple St,Portland,OR,53523,245-236-4619,contact8023@shelter.org,64,16,Scraped-style dataset with room availability restored.
Hope Center - Philadelphia Program East,4661 Broad St,Philadelphia,PA,42880,340-305-4678,contact8024@shelter.org,58,17,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Austin Mission East,1425 Elm St,Austin,TX,81284,730-845-6784,contact8025@shelter.org,83,25,Scraped-style dataset with room availability restored.
Salvation Army - Dallas Center East,7136 Pine St,Dallas,TX,67111,339-815-5209,contact8026@shelter.org,119,35,Scraped-style dataset with room availability restored.
Emergency Housing Center - San Antonio Services,2259 Market St,San Antonio,TX,91704,631-491-6984,contact8027@shelter.org,72,15,Scraped-style dataset with room availability restored.
City Shelter - Philadelphia Shelter North,8967 Cedar St,Philadelphia,PA,12890,520-637-6111,contact8028@shelter.org,31,9,Scraped-style dataset with room availability restored.
Family Shelter Network - Philadelphia Shelter South,486 Elm St,Philadelphia,PA,99711,350-830-1474,contact8029@shelter.org,95,14,Scraped-style dataset with room availability restored.
Transitional Housing Program - Charlotte Services West,4029 3rd St,Charlotte,NC,41721,741-494-6012,contact8030@shelter.org,95,0,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Los Angeles Services,1583 3rd St,Los Angeles,CA,11848,207-803-8594,contact8031@shelter.org,34,4,Scraped-style dataset with room availability restored.
Hope Center - Philadelphia Shelter South,2577 Market St,Philadelphia,PA,29697,884-601-8283,contact8032@shelter.org,20,3,Scraped-style dataset with room availability restored.
Open Door Mission - Austin Services,6138 Walnut St,Austin,TX,66007,992-405-4431,contact8033@shelter.org,101,41,Scraped-style dataset with room availability restored.
Safe Haven - Houston Shelter West,4969 Broad St,Houston,TX,62073,256-351-6210,contact8034@shelter.org,62,23,Scraped-style dataset with room availability restored.
Community Shelter - Denver Shelter West,4275 Oak St,Denver,CO,64413,322-369-7702,contact8035@shelter.org,22,4,Scraped-style dataset with room availability restored.
Open Door Mission - Boston Program East,8215 Cedar St,Boston,MA,27302,683-250-2827,contact8036@shelter.org,99,3,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Dallas Mission North,9083 Market St,Dallas,TX,93832,570-801-2071,contact8037@shelter.org,102,45,Scraped-style dataset with room availability restored.
Safe Haven - New York Center West,156 Cedar St,New York,NY,75680,283-656-9591,contact8038@shelter.org,15,4,Scraped-style dataset with room availability restored.
Faith Shelter - Portland Center South,9949 Elm St,Portland,OR,59542,750-611-6398,contact8039@shelter.org,44,14,Scraped-style dataset with room availability restored.
Rescue Mission - San Jose Shelter East,3070 Broad St,San Jose,CA,45787,988-307-3160,contact8040@shelter.org,77,14,Scraped-style dataset with room availability restored.
Neighborhood Shelter - New York Center,9690 Walnut St,New York,NY,63609,207-936-7588,contact8041@shelter.org,113,21,Scraped-style dataset with room availability restored.
Transitional Housing Program - Indianapolis Shelter,2603 Elm St,Indianapolis,IN,83184,785-916-2127,contact8042@shelter.org,65,13,Scraped-style dataset with room availability restored.
Rescue Mission - Detroit Shelter,8147 Oak St,Detroit,MI,29895,533-246-1769,contact8043@shelter.org,54,17,Scraped-style dataset with room availability restored.
Safe Haven - Portland Shelter East,7040 3rd St,Portland,OR,78500,949-742-5139,contact8044@shelter.org,103,39,Scraped-style dataset with room availability restored.
Safe Haven - Jacksonville Shelter South,1700 3rd St,Jacksonville,FL,77472,702-582-2835,contact8045@shelter.org,49,22,Scraped-style dataset with room availability restored.
Faith Shelter - Detroit Center,3587 Pine St,Detroit,MI,10219,786-286-5932,contact8046@shelter.org,80,8,Scraped-style dataset with room availability restored.
Safe Haven - Detroit Mission West,1171 Main St,Detroit,MI,58978,324-674-7098,contact8047@shelter.org,57,2,Scraped-style dataset with room availability restored.
Community Shelter - Seattle Services North,8132 Elm St,Seattle,WA,58201,951-949-9286,contact8048@shelter.org,117,8,Scraped-style dataset with room availability restored.
Urban Shelter - Charlotte Services,4611 Walnut St,Charlotte,NC,96528,429-369-5154,contact8049@shelter.org,44,12,Scraped-style dataset with room availability restored.
Urban Shelter - Portland Center West,3119 Maple St,Portland,OR,38802,755-873-1126,contact8050@shelter.org,37,1,Scraped-style dataset with room availability restored.
Veterans Outreach - Denver Services West,5989 3rd St,Denver,CO,17234,456-501-5829,contact8051@shelter.org,101,42,Scraped-style dataset with room availability restored.
Salvation Army - Denver Center South,811 Pine St,Denver,CO,96204,447-754-4615,contact8052@shelter.org,61,26,Scraped-style dataset with room availability restored.
Veterans Outreach - San Diego Services East,6354 Market St,San Diego,CA,46332,755-647-8139,contact8053@shelter.org,67,30,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Los Angeles Center North,7066 Cedar St,Los Angeles,CA,43187,898-893-1316,contact8054@shelter.org,57,17,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Dallas Center North,2581 Oak St,Dallas,TX,67213,306-609-3156,contact8055@shelter.org,31,10,Scraped-style dataset with room availability restored.
Union Gospel Mission - Houston Program South,8021 Maple St,Houston,TX,37496,253-827-5896,contact8056@shelter.org,55,18,Scraped-style dataset with room availability restored.
Veterans Outreach - San Jose Shelter North,6422 Main St,San Jose,CA,57246,452-862-2089,contact8057@shelter.org,74,33,Scraped-style dataset with room availability restored.
Rescue Mission - Austin Mission West,7787 2nd St,Austin,TX,81229,315-474-7614,contact8058@shelter.org,95,15,Scraped-style dataset with room availability restored.
Safe Haven - Washington Center North,4196 Broad St,Washington,DC,28605,236-708-4273,contact8059@shelter.org,72,28,Scraped-style dataset with room availability restored.
Faith Shelter - Nashville Program,3704 Cedar St,Nashville,TN,94217,633-667-7774,contact8060@shelter.org,57,22,Scraped-style dataset with room availability restored.
Safe Haven - San Francisco Program South,1100 Elm St,San Francisco,CA,37621,464-835-3768,contact8061@shelter.org,91,20,Scraped-style dataset with room availability restored.
Community Shelter - Chicago Center,5236 Cedar St,Chicago,IL,46395,703-825-5776,contact8062@shelter.org,102,19,Scraped-style dataset with room availability restored.
Veterans Outreach - Seattle Services West,5875 Market St,Seattle,WA,79609,395-475-5556,contact8063@shelter.org,71,28,Scraped-style dataset with room availability restored.
Community Shelter - Philadelphia Services East,6582 Broad St,Philadelphia,PA,81855,515-696-9287,contact8064@shelter.org,72,20,Scraped-style dataset with room availability restored.
Safe Haven - Boston Services North,2868 Pine St,Boston,MA,50201,335-921-9748,contact8065@shelter.org,76,33,Scraped-style dataset with room availability restored.
Community Shelter - Portland Mission East,3787 Walnut St,Portland,OR,66644,354-323-4204,contact8066@shelter.org,38,13,Scraped-style dataset with room availability restored.
Urban Shelter - Boston Program,3948 Pine St,Boston,MA,32684,961-504-8645,contact8067@shelter.org,30,9,Scraped-style dataset with room availability restored.
Family Shelter Network - Seattle Center West,7407 Walnut St,Seattle,WA,57953,483-322-5930,contact8068@shelter.org,33,10,Scraped-style dataset with room availability restored.
Urban Shelter - Charlotte Program East,3169 Maple St,Charlotte,NC,51440,855-295-7117,contact8069@shelter.org,60,21,Scraped-style dataset with room availability restored.
Union Gospel Mission - Jacksonville Shelter South,1385 Maple St,Jacksonville,FL,89233,775-576-3241,contact8070@shelter.org,100,31,Scraped-style dataset with room availability restored.
Urban Shelter - Portland Mission South,5347 Main St,Portland,OR,39993,387-940-6931,contact8071@shelter.org,40,18,Scraped-style dataset with room availability restored.
Hope Center - San Diego Services West,6304 3rd St,San Diego,CA,25212,754-274-5549,contact8072@shelter.org,96,3,Scraped-style dataset with room availability restored.
Community Shelter - Indianapolis Program West,18 Cedar St,Indianapolis,IN,67847,425-219-4426,contact8073@shelter.org,40,18,Scraped-style dataset with room availability restored.
Faith Shelter - New York Shelter North,9123 Broad St,New York,NY,49381,804-535-8415,contact8074@shelter.org,32,5,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Indianapolis Services West,6456 Pine St,Indianapolis,IN,27548,782-773-9659,contact8075@shelter.org,110,43,Scraped-style dataset with room availability restored.
Safe Haven - Columbus Program North,9100 Elm St,Columbus,OH,81654,741-889-4866,contact8076@shelter.org,107,18,Scraped-style dataset with room availability restored.
Emergency Housing Center - San Francisco Program North,4162 Cedar St,San Francisco,CA,61175,825-427-2696,contact8077@shelter.org,75,25,Scraped-style dataset with room availability restored.
Open Door Mission - San Antonio Shelter South,425 2nd St,San Antonio,TX,49363,798-540-9967,contact8078@shelter.org,81,20,Scraped-style dataset with room availability restored.
Community Shelter - San Antonio Center South,6127 Elm St,San Antonio,TX,36734,920-590-3141,contact8079@shelter.org,44,8,Scraped-style dataset with room availability restored.
Transitional Housing Program - Chicago Shelter East,9551 Market St,Chicago,IL,28928,854-448-2086,contact8080@shelter.org,120,8,Scraped-style dataset with room availability restored.
Veterans Outreach - Portland Program South,1604 Maple St,Portland,OR,12120,410-302-3559,contact8081@shelter.org,21,0,Scraped-style dataset with room availability restored.
Open Door Mission - San Jose Center North,8185 Main St,San Jose,CA,57242,569-625-7186,contact8082@shelter.org,70,14,Scraped-style dataset with room availability restored.
Transitional Housing Program - Columbus Program,4581 Walnut St,Columbus,OH,39829,439-929-7498,contact8083@shelter.org,101,42,Scraped-style dataset with room availability restored.
Hope Center - San Antonio Mission South,3310 Market St,San Antonio,TX,99001,647-689-2087,contact8084@shelter.org,83,17,Scraped-style dataset with room availability restored.
Open Door Mission - New York Services East,2474 Pine St,New York,NY,24489,799-837-1457,contact8085@shelter.org,94,16,Scraped-style dataset with room availability restored.
Urban Shelter - Washington Services,4601 Walnut St,Washington,DC,89324,463-460-5665,contact8086@shelter.org,92,25,Scraped-style dataset with room availability restored.
Open Door Mission - Phoenix Center North,2106 Main St,Phoenix,AZ,49214,266-515-9053,contact8087@shelter.org,42,8,Scraped-style dataset with room availability restored.
Salvation Army - Indianapolis Center South,4348 Main St,Indianapolis,IN,64692,927-543-4712,contact8088@shelter.org,109,22,Scraped-style dataset with room availability restored.
Safe Haven - Denver Services West,5772 Pine St,Denver,CO,77272,227-544-5556,contact8089@shelter.org,16,2,Scraped-style dataset with room availability restored.
Family Shelter Network - Washington Services West,3344 Main St,Washington,DC,83521,306-300-5767,contact8090@shelter.org,97,7,Scraped-style dataset with room availability restored.
Union Gospel Mission - Phoenix Mission East,8746 Elm St,Phoenix,AZ,77805,526-864-5930,contact8091@shelter.org,43,12,Scraped-style dataset with room availability restored.
Urban Shelter - San Francisco Program,3822 Elm St,San Francisco,CA,37423,982-372-8926,contact8092@shelter.org,68,21,Scraped-style dataset with room availability restored.
Hope Center - Austin Program North,6553 Elm St,Austin,TX,39754,915-980-4663,contact8093@shelter.org,80,34,Scraped-style dataset with room availability restored.
Rescue Mission - San Francisco Program,8268 Broad St,San Francisco,CA,74180,650-871-3438,contact8094@shelter.org,85,36,Scraped-style dataset with room availability restored.
Safe Haven - Phoenix Services,1074 Oak St,Phoenix,AZ,86164,530-464-3774,contact8095@shelter.org,25,7,Scraped-style dataset with room availability restored.
Safe Haven - Houston Center East,5112 Pine St,Houston,TX,44423,870-948-7216,contact8096@shelter.org,51,2,Scraped-style dataset with room availability restored.
Faith Shelter - Jacksonville Services East,1026 Pine St,Jacksonville,FL,82917,228-839-9273,contact8097@shelter.org,75,14,Scraped-style dataset with room availability restored.
Urban Shelter - Seattle Services South,6210 3rd St,Seattle,WA,11989,819-757-5994,contact8098@shelter.org,98,20,Scraped-style dataset with room availability restored.
Emergency Housing Center - New York Center East,952 Broad St,New York,NY,61408,295-818-9090,contact8099@shelter.org,50,12,Scraped-style dataset with room availability restored.
Veterans Outreach - San Antonio Program East,2 Main St,San Antonio,TX,51854,565-448-7276,contact8100@shelter.org,75,14,Scraped-style dataset with room availability restored.
Transitional Housing Program - Denver Services East,8455 Oak St,Denver,CO,67905,885-634-2691,contact8101@shelter.org,43,4,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Phoenix Program South,6264 Broad St,Phoenix,AZ,74301,370-856-8344,contact8102@shelter.org,65,16,Scraped-style dataset with room availability restored.
Hope Center - San Jose Program West,8962 Pine St,San Jose,CA,74499,973-924-1149,contact8103@shelter.org,113,7,Scraped-style dataset with room availability restored.
Emergency Housing Center - San Diego Mission South,1670 Market St,San Diego,CA,96322,376-963-9196,contact8104@shelter.org,66,23,Scraped-style dataset with room availability restored.
Hope Center - San Francisco Program West,7792 Maple St,San Francisco,CA,19247,634-431-5266,contact8105@shelter.org,42,2,Scraped-style dataset with room availability restored.
Rescue Mission - San Diego Program,1825 Oak St,San Diego,CA,30723,500-410-3241,contact8106@shelter.org,27,0,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Houston Mission West,1515 Main St,Houston,TX,99110,343-827-3804,contact8107@shelter.org,90,33,Scraped-style dataset with room availability restored.
Transitional Housing Program - Houston Mission North,912 Walnut St,Houston,TX,40462,501-463-7468,contact8108@shelter.org,37,7,Scraped-style dataset with room availability restored.
Emergency Housing Center - Seattle Mission North,9647 Elm St,Seattle,WA,35461,796-743-4986,contact8109@shelter.org,107,41,Scraped-style dataset with room availability restored.
Urban Shelter - San Diego Center South,1942 Market St,San Diego,CA,38327,925-886-3516,contact8110@shelter.org,69,9,Scraped-style dataset with room availability restored.
Hope Center - Houston Services,3658 Main St,Houston,TX,28478,214-962-9218,contact8111@shelter.org,60,19,Scraped-style dataset with room availability restored.
Faith Shelter - New York Program,3809 Maple St,New York,NY,92165,887-791-2624,contact8112@shelter.org,117,4,Scraped-style dataset with room availability restored.
Emergency Housing Center - Denver Mission West,298 Market St,Denver,CO,68627,325-997-9651,contact8113@shelter.org,78,10,Scraped-style dataset with room availability restored.
Transitional Housing Program - Indianapolis Shelter,5340 2nd St,Indianapolis,IN,88075,682-787-3873,contact8114@shelter.org,68,13,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Chicago Program West,205 Oak St,Chicago,IL,65377,820-379-9052,contact8115@shelter.org,71,28,Scraped-style dataset with room availability restored.
Veterans Outreach - Chicago Program East,9489 Cedar St,Chicago,IL,29739,793-560-9601,contact8116@shelter.org,90,11,Scraped-style dataset with room availability restored.
Transitional Housing Program - Houston Services,670 Walnut St,Houston,TX,18408,941-904-9960,contact8117@shelter.org,119,29,Scraped-style dataset with room availability restored.
Emergency Housing Center - Houston Program East,3099 Market St,Houston,TX,95771,388-698-7046,contact8118@shelter.org,85,37,Scraped-style dataset with room availability restored.
Safe Haven - San Francisco Shelter North,7773 Oak St,San Francisco,CA,72088,488-641-2035,contact8119@shelter.org,36,10,Scraped-style dataset with room availability restored.
City Shelter - San Antonio Mission East,1578 Elm St,San Antonio,TX,46025,655-535-9369,contact8120@shelter.org,81,35,Scraped-style dataset with room availability restored.
Urban Shelter - Jacksonville Shelter West,2180 Oak St,Jacksonville,FL,76900,692-579-6002,contact8121@shelter.org,108,42,Scraped-style dataset with room availability restored.
Veterans Outreach - San Antonio Services North,8658 3rd St,San Antonio,TX,56517,203-711-5596,contact8122@shelter.org,93,32,Scraped-style dataset with room availability restored.
Transitional Housing Program - Philadelphia Services,300 Elm St,Philadelphia,PA,23887,794-668-3235,contact8123@shelter.org,41,6,Scraped-style dataset with room availability restored.
Family Shelter Network - Indianapolis Center South,14 Market St,Indianapolis,IN,33435,446-786-9205,contact8124@shelter.org,71,25,Scraped-style dataset with room availability restored.
Veterans Outreach - Detroit Shelter East,4571 Main St,Detroit,MI,13329,210-891-9298,contact8125@shelter.org,52,17,Scraped-style dataset with room availability restored.
Hope Center - Boston Services South,844 2nd St,Boston,MA,34120,487-232-9758,contact8126@shelter.org,46,3,Scraped-style dataset with room availability restored.
Rescue Mission - Washington Shelter East,5714 Main St,Washington,DC,95395,250-823-1561,contact8127@shelter.org,80,34,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Detroit Mission North,7559 Cedar St,Detroit,MI,38452,946-486-9995,contact8128@shelter.org,20,0,Scraped-style dataset with room availability restored.
Open Door Mission - Austin Services West,623 Elm St,Austin,TX,18724,359-466-3630,contact8129@shelter.org,45,3,Scraped-style dataset with room availability restored.
City Shelter - Seattle Shelter West,5366 Broad St,Seattle,WA,49657,738-882-1104,contact8130@shelter.org,47,9,Scraped-style dataset with room availability restored.
Salvation Army - Phoenix Center South,7213 3rd St,Phoenix,AZ,24017,448-774-5045,contact8131@shelter.org,43,19,Scraped-style dataset with room availability restored.
Urban Shelter - San Antonio Shelter West,265 Walnut St,San Antonio,TX,70305,917-846-6225,contact8132@shelter.org,108,8,Scraped-style dataset with room availability restored.
Transitional Housing Program - Austin Shelter West,8131 2nd St,Austin,TX,88030,475-249-9476,contact8133@shelter.org,109,6,Scraped-style dataset with room availability restored.
Veterans Outreach - Nashville Mission South,8512 Cedar St,Nashville,TN,98607,394-666-4911,contact8134@shelter.org,53,11,Scraped-style dataset with room availability restored.
Transitional Housing Program - Dallas Shelter West,3444 Cedar St,Dallas,TX,13825,502-407-2721,contact8135@shelter.org,104,7,Scraped-style dataset with room availability restored.
Salvation Army - Seattle Shelter,5737 Elm St,Seattle,WA,86050,500-940-7512,contact8136@shelter.org,92,38,Scraped-style dataset with room availability restored.
Family Shelter Network - San Francisco Shelter,8938 Oak St,San Francisco,CA,37447,358-425-5525,contact8137@shelter.org,32,6,Scraped-style dataset with room availability restored.
Rescue Mission - San Diego Mission North,1449 Pine St,San Diego,CA,74042,494-784-7333,contact8138@shelter.org,92,15,Scraped-style dataset with room availability restored.
Safe Haven - Denver Center North,6534 Main St,Denver,CO,54363,782-309-9985,contact8139@shelter.org,16,7,Scraped-style dataset with room availability restored.
